OS,Python,Hardware,Run,Score,Processing_Time,Project
Linux-Xenial,3.6,amd64,32.0,2.774693,104.0,scikit-optimize
Linux-Xenial,3.7,amd64,32.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,32.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,32.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,32.0,2.89352,132.0,scikit-optimize
MacOS,3.7,amd64,32.0,2.925345,157.0,scikit-optimize
Windows,3.7,amd64,32.0,2.943491,159.0,scikit-optimize
Linux-Xenial,3.8,amd64,33.0,2.953319,103.0,scikit-optimize
Linux-Xenial,3.6,amd64,33.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,33.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,33.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,33.0,2.96349,96.0,scikit-optimize
Linux-Xenial,3.7,arm64,33.0,2.89352,143.0,scikit-optimize
MacOS,3.7,amd64,33.0,2.925345,162.0,scikit-optimize
Windows,3.7,amd64,33.0,2.943491,160.0,scikit-optimize
Linux-Xenial,3.8,amd64,34.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,34.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,34.0,2.96349,95.0,scikit-optimize
Linux-Bionic,3.7,amd64,34.0,2.96349,96.0,scikit-optimize
Linux-Focal,3.7,amd64,34.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,34.0,2.89352,155.0,scikit-optimize
MacOS,3.7,amd64,34.0,2.925345,167.0,scikit-optimize
Windows,3.7,amd64,34.0,2.943491,160.0,scikit-optimize
Linux-Xenial,3.8,amd64,35.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,35.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,35.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,35.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,35.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,35.0,2.89352,158.0,scikit-optimize
MacOS,3.7,amd64,35.0,2.925345,164.0,scikit-optimize
Windows,3.7,amd64,35.0,2.943491,153.0,scikit-optimize
Linux-Xenial,3.8,amd64,36.0,2.953319,98.0,scikit-optimize
Linux-Xenial,3.6,amd64,36.0,2.774693,105.0,scikit-optimize
Linux-Xenial,3.7,amd64,36.0,2.96349,97.0,scikit-optimize
Linux-Bionic,3.7,amd64,36.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,36.0,2.96349,94.0,scikit-optimize
Linux-Xenial,3.7,arm64,36.0,2.89352,153.0,scikit-optimize
MacOS,3.7,amd64,36.0,2.925345,167.0,scikit-optimize
Windows,3.7,amd64,36.0,2.943491,146.0,scikit-optimize
Linux-Xenial,3.8,amd64,37.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,37.0,2.774693,107.0,scikit-optimize
Linux-Xenial,3.7,amd64,37.0,2.96349,98.0,scikit-optimize
Linux-Bionic,3.7,amd64,37.0,2.96349,97.0,scikit-optimize
Linux-Focal,3.7,amd64,37.0,2.96349,95.0,scikit-optimize
Linux-Xenial,3.7,arm64,37.0,2.89352,151.0,scikit-optimize
MacOS,3.7,amd64,37.0,2.925345,159.0,scikit-optimize
Windows,3.7,amd64,37.0,2.943491,153.0,scikit-optimize
Linux-Xenial,3.8,amd64,38.0,2.953319,99.0,scikit-optimize
Linux-Xenial,3.6,amd64,38.0,2.774693,102.0,scikit-optimize
Linux-Xenial,3.7,amd64,38.0,2.96349,96.0,scikit-optimize
Linux-Bionic,3.7,amd64,38.0,2.96349,93.0,scikit-optimize
Linux-Focal,3.7,amd64,38.0,2.96349,97.0,scikit-optimize
Linux-Xenial,3.7,arm64,38.0,2.89352,162.0,scikit-optimize
MacOS,3.7,amd64,38.0,2.925345,153.0,scikit-optimize
Windows,3.7,amd64,38.0,2.943491,155.0,scikit-optimize
Linux-Xenial,3.8,amd64,39.0,2.953319,100.0,scikit-optimize
Linux-Xenial,3.6,amd64,39.0,2.774693,106.0,scikit-optimize
Linux-Xenial,3.7,amd64,39.0,2.96349,94.0,scikit-optimize
Linux-Bionic,3.7,amd64,39.0,2.96349,94.0,scikit-optimize
Linux-Focal,3.7,amd64,39.0,2.96349,93.0,scikit-optimize
Linux-Xenial,3.7,arm64,39.0,2.89352,151.0,scikit-optimize
MacOS,3.7,amd64,39.0,2.925345,162.0,scikit-optimize
Windows,3.7,amd64,39.0,2.943491,152.0,scikit-optimize
Linux-Xenial,3.8,amd64,40.0,2.953319,97.0,scikit-optimize
Linux-Xenial,3.6,amd64,40.0,2.774693,103.0,scikit-optimize
Linux-Xenial,3.7,amd64,40.0,2.96349,98.0,scikit-optimize
Linux-Bionic,3.7,amd64,40.0,2.96349,95.0,scikit-optimize
Linux-Focal,3.7,amd64,40.0,2.96349,97.0,scikit-optimize
